customer_id,monthly_charge,payment_method,total_spend_last_12m
117,50000,Virtual Account,400000
118,160000,Virtual Account,1280000
119,120000,Credit Card,1440000
120,50000,Virtual Account,400000
121,75000,E-Wallet,750000
122,50000,Virtual Account,450000
123,50000,E-Wallet,550000
124,180000,E-Wallet,1980000
125,75000,AutoPay,825000
126,120000,Virtual Account,1200000
127,180000,Credit Card,1980000
128,75000,Virtual Account,450000
129,160000,E-Wallet,1760000
130,115000,AutoPay,1265000
131,120000,Credit Card,1440000
132,90000,Virtual Account,990000
133,180000,Virtual Account,1260000
134,50000,AutoPay,450000
135,50000,Credit Card,400000
136,120000,AutoPay,1440000
137,115000,Virtual Account,1380000
138,90000,AutoPay,1080000
139,75000,AutoPay,900000
140,135000,Virtual Account,1080000
141,90000,E-Wallet,990000
142,50000,AutoPay,300000
143,75000,Credit Card,450000
144,90000,AutoPay,810000
145,50000,Credit Card,600000
146,90000,Virtual Account,900000
147,75000,Virtual Account,450000
148,75000,E-Wallet,525000
149,75000,AutoPay,750000
150,120000,E-Wallet,960000
151,50000,E-Wallet,300000
152,115000,Virtual Account,690000
153,75000,E-Wallet,600000
154,75000,AutoPay,450000
155,120000,Virtual Account,720000
156,75000,Virtual Account,825000
157,75000,AutoPay,750000
158,50000,Virtual Account,350000
159,75000,AutoPay,600000
160,75000,AutoPay,900000
161,50000,E-Wallet,450000
162,115000,E-Wallet,1265000
163,205000,Virtual Account,2460000
164,100000,Credit Card,1200000
165,75000,Credit Card,750000
166,195000,E-Wallet,1755000
167,145000,Credit Card,870000
168,90000,E-Wallet,990000
169,120000,AutoPay,1200000
170,145000,E-Wallet,1595000
171,75000,AutoPay,675000
172,75000,Virtual Account,525000
173,115000,AutoPay,1265000
174,205000,Virtual Account,2050000
175,115000,AutoPay,805000
176,50000,Credit Card,400000
177,145000,E-Wallet,1160000
178,75000,AutoPay,825000
179,50000,E-Wallet,450000
180,75000,Credit Card,750000
181,100000,Virtual Account,1100000
182,120000,E-Wallet,1320000
183,90000,AutoPay,630000
184,120000,E-Wallet,840000
185,75000,Credit Card,675000
186,50000,Virtual Account,400000
187,195000,Credit Card,2340000
188,75000,E-Wallet,825000
189,90000,AutoPay,720000
190,90000,AutoPay,810000
191,160000,Credit Card,960000
192,50000,Credit Card,300000
193,50000,Virtual Account,600000
194,65000,Virtual Account,390000
195,50000,Virtual Account,400000
196,150000,E-Wallet,1050000
197,115000,E-Wallet,690000
198,80000,Virtual Account,640000
199,50000,Credit Card,550000
200,50000,E-Wallet,450000
201,180000,E-Wallet,1080000
202,80000,E-Wallet,880000
203,195000,Credit Card,1755000
204,75000,Virtual Account,675000
205,80000,Credit Card,640000
206,120000,Credit Card,720000
207,75000,AutoPay,825000
208,145000,E-Wallet,1595000
209,180000,Virtual Account,2160000
210,50000,Credit Card,550000
211,50000,Credit Card,400000
212,120000,AutoPay,1200000
213,50000,AutoPay,400000
214,90000,E-Wallet,810000
215,50000,Credit Card,600000
216,90000,Virtual Account,630000
217,120000,Credit Card,1320000
218,80000,E-Wallet,880000
219,75000,AutoPay,525000
220,75000,Credit Card,900000
221,75000,Virtual Account,900000
222,50000,Credit Card,550000
223,135000,AutoPay,1620000
224,50000,Virtual Account,300000
225,160000,AutoPay,960000
226,135000,E-Wallet,945000
227,75000,Virtual Account,600000
228,105000,Credit Card,1050000
229,75000,Virtual Account,600000
230,75000,Virtual Account,750000
231,120000,Credit Card,1080000
232,120000,Credit Card,840000
233,50000,AutoPay,450000
234,100000,E-Wallet,1100000
235,180000,E-Wallet,1260000
236,205000,E-Wallet,2460000
237,75000,AutoPay,450000
238,75000,Credit Card,825000
239,65000,AutoPay,520000
240,180000,Credit Card,1260000
241,50000,Credit Card,400000
242,75000,Credit Card,825000
243,75000,Virtual Account,825000
244,50000,AutoPay,450000
245,75000,AutoPay,525000
246,180000,Credit Card,1260000
247,50000,AutoPay,350000
248,75000,Credit Card,450000
249,50000,E-Wallet,550000
250,50000,Credit Card,550000
251,115000,AutoPay,690000
252,75000,Credit Card,525000
253,50000,E-Wallet,550000
254,50000,E-Wallet,600000
255,80000,Virtual Account,720000
256,50000,E-Wallet,550000
257,180000,Credit Card,2160000
258,180000,Virtual Account,1440000
259,90000,Virtual Account,990000
260,100000,E-Wallet,600000
261,180000,Credit Card,2160000
262,50000,Virtual Account,500000
263,135000,Virtual Account,1620000
264,220000,Virtual Account,2200000
265,80000,Credit Card,960000
266,50000,E-Wallet,600000
267,180000,Virtual Account,1800000
268,115000,E-Wallet,690000
269,80000,Credit Card,800000
270,75000,Credit Card,900000
271,75000,E-Wallet,825000
272,105000,E-Wallet,1050000
273,150000,Virtual Account,1650000
274,180000,E-Wallet,1440000
275,50000,AutoPay,500000
276,115000,E-Wallet,1265000
277,75000,AutoPay,750000
278,75000,Credit Card,825000
279,50000,Virtual Account,550000
280,180000,Virtual Account,2160000
281,120000,Virtual Account,1440000
282,105000,Virtual Account,1155000
283,75000,Virtual Account,600000
284,90000,Virtual Account,720000
285,75000,Credit Card,750000
286,105000,Virtual Account,945000
287,75000,AutoPay,525000
288,180000,Virtual Account,1980000
289,105000,Credit Card,840000
290,105000,Virtual Account,945000
291,135000,Credit Card,1080000
292,80000,Virtual Account,480000
293,100000,Virtual Account,700000
294,50000,Credit Card,350000
295,100000,Virtual Account,1000000
296,120000,Virtual Account,960000
297,75000,AutoPay,825000
298,120000,Credit Card,840000
299,75000,AutoPay,525000
300,80000,Virtual Account,640000
301,120000,Virtual Account,720000
302,90000,Credit Card,540000
303,80000,Credit Card,720000
304,90000,Virtual Account,1080000
305,50000,Credit Card,350000
306,50000,AutoPay,600000
307,100000,E-Wallet,1000000
308,90000,Virtual Account,630000
309,75000,AutoPay,525000
310,210000,Virtual Account,2100000
311,75000,E-Wallet,900000
312,120000,Credit Card,960000
313,50000,E-Wallet,450000
314,75000,Credit Card,750000
315,120000,E-Wallet,1200000
316,75000,AutoPay,525000
317,120000,Virtual Account,1080000
318,75000,E-Wallet,750000
319,50000,Virtual Account,500000
320,75000,AutoPay,900000
321,75000,E-Wallet,450000
322,145000,Credit Card,1450000
323,65000,Virtual Account,520000
324,180000,E-Wallet,1980000
325,180000,Virtual Account,1260000
326,50000,E-Wallet,300000
327,50000,Credit Card,400000
328,135000,AutoPay,1080000
329,220000,Credit Card,2420000
330,75000,AutoPay,525000
331,75000,E-Wallet,900000
332,75000,E-Wallet,675000
333,75000,E-Wallet,750000
334,50000,AutoPay,300000
335,120000,E-Wallet,720000
336,75000,Virtual Account,525000
337,50000,E-Wallet,350000
338,75000,E-Wallet,450000
339,105000,AutoPay,840000
340,80000,Virtual Account,960000
341,105000,AutoPay,630000
342,50000,Credit Card,600000
343,50000,AutoPay,550000
344,50000,E-Wallet,450000
345,180000,E-Wallet,1980000
346,115000,E-Wallet,1035000
347,90000,Credit Card,900000
348,115000,Virtual Account,1150000
349,180000,Credit Card,1260000
350,65000,E-Wallet,780000
351,75000,Virtual Account,825000
352,145000,AutoPay,1740000
353,90000,Credit Card,720000
354,50000,Credit Card,300000
355,75000,Virtual Account,450000
356,50000,Virtual Account,500000
357,75000,E-Wallet,750000
358,120000,E-Wallet,840000
359,50000,AutoPay,550000
360,145000,AutoPay,870000
361,75000,E-Wallet,750000
362,120000,Virtual Account,1440000
363,115000,Virtual Account,1265000
364,50000,Credit Card,300000
365,75000,Credit Card,450000
366,180000,Virtual Account,1620000
367,90000,Virtual Account,720000
368,65000,Credit Card,520000
369,75000,Credit Card,675000
370,75000,AutoPay,600000
371,90000,E-Wallet,900000
372,80000,AutoPay,800000
373,65000,Virtual Account,715000
374,50000,Credit Card,500000
375,65000,Credit Card,390000
376,75000,E-Wallet,900000
377,120000,E-Wallet,960000
378,80000,Virtual Account,480000
379,115000,E-Wallet,1380000
380,105000,AutoPay,945000
381,180000,Credit Card,2160000
382,180000,E-Wallet,1260000
383,120000,E-Wallet,720000
384,75000,AutoPay,900000
385,50000,Virtual Account,550000
386,50000,Credit Card,350000
387,50000,E-Wallet,300000
388,75000,E-Wallet,750000
389,120000,Virtual Account,840000
390,145000,E-Wallet,1305000
391,120000,Virtual Account,1080000
392,75000,E-Wallet,525000
393,90000,Virtual Account,720000
394,50000,AutoPay,550000
395,50000,Credit Card,550000
396,120000,AutoPay,720000
397,80000,AutoPay,480000
398,75000,Credit Card,750000
399,75000,Credit Card,825000
400,75000,AutoPay,825000
401,145000,E-Wallet,1740000
402,50000,E-Wallet,450000
403,120000,E-Wallet,1200000
404,50000,Virtual Account,300000
405,75000,E-Wallet,450000
406,120000,AutoPay,960000
407,90000,AutoPay,720000
408,220000,E-Wallet,1980000
409,75000,E-Wallet,525000
410,75000,AutoPay,600000
411,100000,Virtual Account,700000
412,180000,E-Wallet,1980000
413,75000,E-Wallet,600000
414,120000,E-Wallet,960000
415,75000,Virtual Account,450000
416,50000,AutoPay,500000
417,75000,E-Wallet,900000
418,50000,E-Wallet,300000
419,75000,AutoPay,450000
420,120000,AutoPay,1440000
421,75000,Virtual Account,825000
422,105000,Credit Card,735000
423,75000,Virtual Account,675000
424,50000,E-Wallet,550000
425,50000,E-Wallet,400000
426,100000,E-Wallet,800000
427,50000,Virtual Account,500000
428,50000,Virtual Account,300000
429,75000,Credit Card,900000
430,80000,Virtual Account,720000
431,50000,Credit Card,500000
432,75000,Virtual Account,675000
433,50000,AutoPay,300000
434,180000,Virtual Account,2160000
435,120000,AutoPay,1200000
436,120000,E-Wallet,1080000
437,50000,AutoPay,300000
438,120000,E-Wallet,1200000
439,120000,AutoPay,1320000
440,120000,E-Wallet,1320000
441,75000,Credit Card,900000
442,75000,E-Wallet,450000
443,135000,AutoPay,1215000
444,75000,Credit Card,750000
445,100000,Virtual Account,900000
446,75000,E-Wallet,600000
447,75000,Virtual Account,600000
448,50000,Virtual Account,350000
449,90000,AutoPay,540000
450,90000,Virtual Account,1080000
451,75000,E-Wallet,750000
452,75000,AutoPay,600000
453,115000,AutoPay,1265000
454,80000,E-Wallet,560000
455,75000,E-Wallet,900000
456,120000,Credit Card,840000
457,65000,Credit Card,390000
458,65000,Credit Card,390000
459,50000,AutoPay,450000
460,120000,AutoPay,840000
461,115000,AutoPay,805000
462,75000,E-Wallet,600000
463,50000,AutoPay,500000
464,90000,AutoPay,630000
465,150000,E-Wallet,900000
466,120000,AutoPay,720000
467,90000,E-Wallet,630000
468,50000,AutoPay,600000
469,50000,E-Wallet,550000
470,75000,E-Wallet,750000
471,50000,AutoPay,400000
472,50000,AutoPay,550000
473,50000,AutoPay,350000
474,75000,E-Wallet,900000
475,180000,E-Wallet,1620000
476,75000,AutoPay,750000
477,145000,AutoPay,1595000
478,150000,Credit Card,1350000
479,50000,Credit Card,500000
480,120000,Virtual Account,840000
481,50000,AutoPay,300000
482,100000,Virtual Account,1100000
483,90000,Virtual Account,1080000
484,180000,Virtual Account,1980000
485,75000,Virtual Account,450000
486,50000,E-Wallet,450000
487,220000,E-Wallet,2200000
488,50000,Virtual Account,350000
489,75000,E-Wallet,525000
490,120000,E-Wallet,1200000
491,120000,E-Wallet,960000
492,180000,AutoPay,2160000
493,180000,E-Wallet,2160000
494,50000,AutoPay,500000
495,120000,AutoPay,1320000
496,90000,Virtual Account,1080000
497,75000,Virtual Account,600000
498,50000,AutoPay,550000
499,105000,Virtual Account,945000
500,195000,Virtual Account,1365000
501,180000,AutoPay,1620000
502,100000,Credit Card,1200000
503,50000,AutoPay,400000
504,75000,Credit Card,450000
505,120000,Credit Card,1200000
506,135000,Credit Card,1080000
507,75000,AutoPay,450000
508,50000,E-Wallet,600000
509,75000,AutoPay,525000
510,75000,Virtual Account,675000
511,205000,Virtual Account,1230000
512,75000,Credit Card,525000
513,50000,Credit Card,350000
514,75000,E-Wallet,600000
515,50000,AutoPay,600000
516,180000,E-Wallet,1260000
517,75000,E-Wallet,600000
518,75000,Credit Card,675000
519,75000,AutoPay,600000
520,75000,E-Wallet,675000
521,100000,Virtual Account,600000
522,160000,Credit Card,960000
523,65000,Credit Card,585000
524,90000,AutoPay,810000
525,50000,Virtual Account,350000
526,75000,Virtual Account,675000
527,50000,E-Wallet,450000
528,75000,Credit Card,450000
529,135000,Virtual Account,1350000
530,150000,AutoPay,1800000
531,75000,Credit Card,900000
532,75000,AutoPay,750000
533,65000,Credit Card,715000
534,75000,E-Wallet,450000
535,150000,AutoPay,1500000
536,50000,AutoPay,350000
537,75000,E-Wallet,600000
538,120000,Virtual Account,1200000
539,150000,E-Wallet,1050000
540,50000,Virtual Account,350000
541,75000,Virtual Account,525000
542,50000,AutoPay,300000
543,50000,E-Wallet,350000
544,180000,AutoPay,1800000
545,120000,Credit Card,840000
546,120000,E-Wallet,840000
547,50000,AutoPay,550000
548,120000,E-Wallet,1080000
549,90000,Virtual Account,540000
550,50000,AutoPay,500000
551,115000,E-Wallet,1380000
552,75000,Virtual Account,450000
553,120000,Credit Card,840000
554,100000,E-Wallet,600000
555,80000,Credit Card,560000
556,50000,E-Wallet,350000
557,80000,Credit Card,560000
558,50000,Virtual Account,600000
559,75000,Virtual Account,675000
560,120000,AutoPay,1200000
561,75000,Credit Card,900000
562,75000,Virtual Account,900000
563,75000,Virtual Account,900000
564,120000,Virtual Account,1080000
565,50000,E-Wallet,550000
566,50000,AutoPay,300000
567,115000,Virtual Account,805000
568,50000,Virtual Account,600000
569,75000,Credit Card,600000
570,120000,Credit Card,960000
571,75000,Virtual Account,825000
572,100000,E-Wallet,1100000
573,120000,E-Wallet,960000
574,115000,Credit Card,805000
575,50000,Virtual Account,550000
576,75000,E-Wallet,750000
577,50000,Virtual Account,450000
578,50000,E-Wallet,550000
579,75000,Credit Card,600000
580,120000,E-Wallet,1440000
581,180000,E-Wallet,1800000
582,75000,E-Wallet,600000
583,90000,E-Wallet,900000
584,90000,Virtual Account,810000
585,145000,AutoPay,1595000
586,105000,Credit Card,630000
587,75000,AutoPay,675000
588,120000,E-Wallet,1200000
589,120000,Virtual Account,1320000
590,145000,Virtual Account,1450000
591,50000,AutoPay,500000
592,120000,AutoPay,1440000
593,120000,E-Wallet,1440000
594,50000,E-Wallet,600000
595,75000,Credit Card,525000
596,65000,AutoPay,520000
597,220000,E-Wallet,1540000
598,50000,Virtual Account,550000
599,75000,Virtual Account,750000
600,65000,AutoPay,715000
601,120000,AutoPay,960000
602,65000,Virtual Account,520000
603,50000,Credit Card,600000
604,115000,Credit Card,1380000
605,180000,AutoPay,1080000
606,80000,Virtual Account,800000
607,80000,Virtual Account,800000
608,145000,Virtual Account,1450000
609,100000,E-Wallet,800000
610,180000,E-Wallet,1980000
611,90000,E-Wallet,810000
612,75000,AutoPay,900000
613,50000,Credit Card,600000
614,50000,Virtual Account,550000
615,75000,AutoPay,750000
616,75000,Virtual Account,525000
617,120000,AutoPay,1200000
618,50000,AutoPay,400000
619,75000,Credit Card,450000
620,105000,E-Wallet,1050000
621,220000,AutoPay,1980000
622,50000,Virtual Account,450000
623,80000,AutoPay,800000
624,75000,AutoPay,900000
625,75000,E-Wallet,750000
626,50000,E-Wallet,500000
627,180000,AutoPay,1260000
628,65000,Virtual Account,780000
629,150000,AutoPay,1200000
630,75000,Credit Card,675000
631,75000,Virtual Account,900000
632,180000,AutoPay,1620000
633,50000,Virtual Account,300000
634,180000,Virtual Account,1800000
635,105000,E-Wallet,840000
636,180000,E-Wallet,1440000
637,75000,Credit Card,750000
638,90000,E-Wallet,720000
639,50000,AutoPay,550000
640,50000,Credit Card,350000
641,65000,Credit Card,390000
642,50000,E-Wallet,600000
643,80000,Virtual Account,640000
644,75000,E-Wallet,600000
645,120000,AutoPay,1200000
646,50000,E-Wallet,400000
647,75000,Credit Card,525000
648,115000,AutoPay,1035000
649,75000,AutoPay,900000
650,50000,E-Wallet,300000
651,50000,AutoPay,450000
652,180000,E-Wallet,2160000
653,120000,Credit Card,840000
654,115000,Credit Card,920000
655,75000,Virtual Account,450000
656,75000,E-Wallet,900000
657,115000,Virtual Account,1265000
658,75000,AutoPay,900000
659,75000,Virtual Account,600000
660,50000,Virtual Account,500000
661,50000,AutoPay,300000
662,75000,AutoPay,825000
663,120000,Virtual Account,960000
664,75000,E-Wallet,600000
665,120000,Credit Card,720000
666,180000,Credit Card,1980000
667,50000,AutoPay,300000
668,75000,Virtual Account,525000
669,105000,Virtual Account,1050000
670,180000,Credit Card,1980000
671,180000,Credit Card,1260000
672,75000,Virtual Account,450000
673,65000,Virtual Account,390000
674,150000,Credit Card,1650000
675,75000,E-Wallet,450000
676,135000,Virtual Account,1620000
677,180000,AutoPay,2160000
678,90000,AutoPay,720000
679,90000,AutoPay,990000
680,75000,AutoPay,525000
681,75000,E-Wallet,675000
682,65000,Virtual Account,650000
683,160000,E-Wallet,1440000
684,180000,E-Wallet,1620000
685,180000,E-Wallet,2160000
686,50000,Virtual Account,400000
687,120000,E-Wallet,960000
688,120000,E-Wallet,1200000
689,50000,E-Wallet,350000
690,50000,Credit Card,500000
691,50000,E-Wallet,450000
692,180000,Virtual Account,1800000
693,75000,AutoPay,450000
694,120000,AutoPay,1320000
695,90000,Credit Card,1080000
696,150000,AutoPay,1500000
697,75000,AutoPay,900000
698,75000,AutoPay,825000
699,90000,AutoPay,630000
700,80000,AutoPay,720000
701,120000,Credit Card,1320000
702,75000,E-Wallet,600000
703,115000,E-Wallet,690000
704,75000,AutoPay,675000
705,75000,E-Wallet,900000
706,50000,Virtual Account,300000
707,50000,AutoPay,350000
708,180000,E-Wallet,1440000
709,50000,Virtual Account,450000
710,120000,AutoPay,1320000
711,180000,AutoPay,1980000
712,50000,E-Wallet,450000
713,50000,Virtual Account,500000
714,75000,AutoPay,750000
715,180000,Virtual Account,1080000
716,180000,Credit Card,1800000
717,105000,Virtual Account,1050000
718,120000,Credit Card,1440000
719,50000,Virtual Account,400000
720,220000,E-Wallet,1540000
721,180000,AutoPay,1620000
722,50000,AutoPay,300000
723,50000,E-Wallet,300000
724,50000,Credit Card,500000
725,50000,AutoPay,350000
726,145000,E-Wallet,1160000
727,75000,Virtual Account,450000
728,50000,Credit Card,300000
729,80000,AutoPay,560000
730,205000,E-Wallet,1845000
731,75000,AutoPay,600000
732,75000,Virtual Account,600000
733,50000,E-Wallet,350000
734,180000,E-Wallet,1080000
735,120000,Credit Card,840000
736,65000,AutoPay,585000
737,50000,AutoPay,500000
738,50000,AutoPay,500000
739,50000,Credit Card,600000
740,75000,E-Wallet,675000
741,180000,AutoPay,1080000
742,100000,AutoPay,900000
743,120000,Credit Card,1320000
744,115000,AutoPay,690000
745,120000,AutoPay,1320000
746,150000,Credit Card,1800000
747,75000,Virtual Account,675000
748,105000,Credit Card,1155000
749,75000,Credit Card,900000
750,50000,Virtual Account,350000
751,115000,E-Wallet,1035000
752,75000,AutoPay,750000
753,195000,E-Wallet,2340000
754,115000,Virtual Account,1150000
755,120000,AutoPay,840000
756,115000,Virtual Account,1265000
757,120000,Virtual Account,1440000
758,75000,AutoPay,750000
759,120000,AutoPay,960000
760,105000,AutoPay,945000
761,75000,Virtual Account,825000
762,115000,Virtual Account,1380000
763,75000,AutoPay,900000
764,50000,Credit Card,500000
765,80000,AutoPay,560000
766,65000,E-Wallet,520000
767,120000,Virtual Account,840000
768,50000,Virtual Account,450000
769,75000,Virtual Account,600000
770,120000,Virtual Account,720000
771,50000,AutoPay,550000
772,90000,Virtual Account,810000
773,50000,Virtual Account,500000
774,220000,E-Wallet,1320000
775,145000,Credit Card,1160000
776,160000,Credit Card,1920000
777,90000,Virtual Account,810000
778,120000,E-Wallet,1200000
779,50000,Virtual Account,300000
780,50000,Virtual Account,500000
781,50000,Virtual Account,550000
782,100000,Credit Card,1000000
783,75000,Virtual Account,450000
784,75000,Credit Card,825000
785,50000,AutoPay,400000
786,75000,Virtual Account,900000
787,120000,AutoPay,720000
788,105000,E-Wallet,1050000
789,120000,Virtual Account,1320000
790,50000,AutoPay,550000
791,145000,Credit Card,1450000
792,75000,AutoPay,750000
793,50000,Virtual Account,500000
794,75000,AutoPay,900000
795,115000,Virtual Account,690000
796,120000,Credit Card,960000
797,90000,AutoPay,990000
798,50000,AutoPay,600000
799,145000,Credit Card,1450000
800,100000,E-Wallet,1100000
801,75000,AutoPay,675000
802,75000,Credit Card,900000
803,65000,Virtual Account,650000
804,90000,E-Wallet,720000
805,100000,Virtual Account,600000
806,180000,Virtual Account,1620000
807,75000,Virtual Account,450000
808,115000,Credit Card,1265000
809,75000,Virtual Account,675000
810,220000,AutoPay,2200000
811,145000,E-Wallet,1160000
812,75000,AutoPay,750000
813,145000,E-Wallet,1160000
814,90000,Virtual Account,630000
815,75000,Virtual Account,675000
816,50000,E-Wallet,550000
817,75000,AutoPay,900000
818,50000,E-Wallet,350000
819,180000,Credit Card,1440000
820,50000,E-Wallet,500000
821,180000,Virtual Account,2160000
822,90000,Credit Card,900000
823,75000,Credit Card,825000
824,75000,Credit Card,825000
825,50000,Credit Card,450000
826,90000,E-Wallet,720000
827,80000,Credit Card,960000
828,115000,Virtual Account,690000
829,75000,E-Wallet,450000
830,120000,E-Wallet,1320000
831,80000,Credit Card,960000
832,50000,AutoPay,300000
833,75000,E-Wallet,450000
834,180000,Virtual Account,1260000
835,120000,E-Wallet,840000
836,75000,AutoPay,825000
837,75000,Virtual Account,750000
838,50000,Credit Card,600000
839,180000,Virtual Account,1260000
840,105000,E-Wallet,1260000
841,80000,AutoPay,720000
842,75000,Credit Card,525000
843,50000,Virtual Account,350000
844,180000,AutoPay,1620000
845,80000,AutoPay,800000
846,75000,AutoPay,450000
847,90000,Credit Card,990000
848,120000,E-Wallet,1200000
849,120000,Virtual Account,720000
850,105000,E-Wallet,1155000
851,75000,Credit Card,675000
852,120000,AutoPay,840000
853,50000,AutoPay,400000
854,50000,E-Wallet,600000
855,50000,E-Wallet,350000
856,180000,Credit Card,2160000
857,75000,Virtual Account,675000
858,120000,AutoPay,960000
859,75000,E-Wallet,525000
860,50000,Virtual Account,350000
861,90000,E-Wallet,720000
862,90000,AutoPay,900000
863,75000,E-Wallet,750000
864,50000,E-Wallet,300000
865,50000,Credit Card,500000
866,120000,Virtual Account,840000
867,180000,Credit Card,1620000
868,50000,Virtual Account,600000
869,65000,Virtual Account,715000
870,50000,E-Wallet,600000
871,90000,Credit Card,630000
872,120000,AutoPay,1440000
873,65000,E-Wallet,455000
874,80000,AutoPay,560000
875,120000,Credit Card,1320000
876,105000,E-Wallet,1155000
877,50000,Credit Card,550000
878,75000,Virtual Account,675000
879,75000,Virtual Account,600000
880,90000,E-Wallet,720000
881,150000,AutoPay,1200000
882,160000,Credit Card,1280000
883,115000,E-Wallet,690000
884,180000,E-Wallet,2160000
885,75000,E-Wallet,525000
886,160000,Credit Card,1920000
887,75000,AutoPay,675000
888,120000,AutoPay,720000
889,180000,AutoPay,1440000
890,90000,Virtual Account,720000
891,180000,E-Wallet,1980000
892,120000,Virtual Account,720000
893,160000,AutoPay,960000
894,50000,AutoPay,600000
895,120000,AutoPay,960000
896,120000,AutoPay,1320000
897,75000,AutoPay,600000
898,180000,Credit Card,1260000
899,50000,Virtual Account,550000
900,65000,E-Wallet,585000
901,115000,AutoPay,1150000
902,75000,Virtual Account,750000
903,75000,Virtual Account,825000
904,50000,AutoPay,500000
905,210000,AutoPay,1470000
906,50000,E-Wallet,500000
907,50000,Credit Card,450000
908,50000,Virtual Account,450000
909,75000,Credit Card,900000
910,180000,Virtual Account,2160000
911,75000,E-Wallet,900000
912,145000,AutoPay,870000
913,50000,AutoPay,350000
914,75000,Virtual Account,600000
915,100000,E-Wallet,700000
916,75000,Virtual Account,600000
917,50000,Virtual Account,400000
918,90000,E-Wallet,720000
919,100000,E-Wallet,1000000
920,120000,Virtual Account,840000
921,75000,Virtual Account,600000
922,50000,AutoPay,300000
923,75000,Virtual Account,900000
924,80000,E-Wallet,800000
925,150000,Credit Card,1800000
926,105000,AutoPay,1155000
927,75000,E-Wallet,750000
928,180000,E-Wallet,1620000
929,75000,E-Wallet,750000
930,50000,Credit Card,400000
931,75000,Credit Card,525000
932,50000,Virtual Account,550000
933,120000,Credit Card,1080000
934,120000,E-Wallet,1440000
935,180000,E-Wallet,1620000
936,75000,E-Wallet,675000
937,75000,Virtual Account,900000
938,120000,E-Wallet,1200000
939,50000,Credit Card,600000
940,75000,Virtual Account,675000
941,75000,Virtual Account,525000
