customer_id,age,region,segment,tenure_month,plan_id
69,21,Sumatera,Youth,38,2
70,19,Kalimantan,Senior,15,3
71,23,Jakarta,Senior,46,2
72,59,Sumatera,Adult,15,1
73,21,Jawa Timur,Adult,46,1
74,46,Jawa Barat,Youth,25,1
75,35,Kalimantan,Youth,21,4
76,43,Sulawesi,Youth,24,3
77,61,Jawa Barat,Youth,5,2
78,51,Kalimantan,Senior,6,1
79,27,Sulawesi,Senior,43,1
80,53,Jawa Barat,Adult,44,3
81,31,Kalimantan,Youth,47,2
82,48,Jawa Barat,Youth,23,1
83,65,Jawa Barat,Adult,4,2
84,32,Sulawesi,Youth,27,1
85,25,Jawa Barat,Youth,18,1
86,31,Jawa Barat,Youth,21,2
87,40,Sulawesi,Youth,28,1
88,57,Jawa Timur,Youth,35,4
89,38,Jakarta,Adult,22,1
90,33,Jawa Tengah,Youth,40,1
91,62,Sumatera,Adult,23,1
92,35,Jawa Tengah,Youth,3,3
93,64,Jawa Tengah,Senior,40,2
94,41,Kalimantan,Senior,10,2
95,43,Jakarta,Senior,25,1
96,42,Kalimantan,Senior,8,1
97,62,Jakarta,Adult,11,2
98,58,Sulawesi,Adult,5,3
99,46,Sulawesi,Youth,45,3
100,32,Jakarta,Senior,37,1
101,62,Jawa Barat,Adult,45,2
102,18,Jawa Timur,Youth,38,4
103,42,Jawa Barat,Youth,29,2
104,24,Jawa Timur,Adult,5,3
105,26,Kalimantan,Senior,9,1
106,41,Jawa Timur,Youth,2,4
107,18,Kalimantan,Senior,1,3
108,61,Sulawesi,Senior,40,4
109,25,Jawa Tengah,Senior,30,2
110,41,Sulawesi,Youth,11,2
111,28,Sulawesi,Senior,28,4
112,68,Jawa Tengah,Youth,44,1
113,34,Jawa Timur,Senior,12,1
114,25,Jawa Timur,Youth,39,3
115,52,Kalimantan,Senior,26,3
116,52,Jawa Barat,Adult,13,4
117,50,Kalimantan,Senior,8,1
118,22,Jawa Barat,Senior,28,3
119,59,Sulawesi,Youth,30,3
120,56,Jawa Tengah,Youth,9,1
121,58,Sulawesi,Senior,39,2
122,45,Jakarta,Adult,31,1
123,24,Jawa Timur,Adult,21,1
124,26,Jawa Barat,Youth,47,4
125,25,Kalimantan,Adult,34,2
126,29,Jawa Tengah,Senior,31,3
127,51,Jawa Barat,Youth,25,4
128,50,Kalimantan,Senior,12,2
129,65,Jawa Timur,Youth,1,3
130,40,Sulawesi,Youth,22,2
131,41,Jawa Timur,Youth,40,3
132,54,Sumatera,Youth,37,1
133,52,Jakarta,Adult,47,4
134,61,Sumatera,Senior,1,1
135,57,Jawa Tengah,Senior,1,1
136,39,Jawa Barat,Senior,42,3
137,44,Jawa Tengah,Youth,42,2
138,52,Sulawesi,Adult,21,2
139,18,Kalimantan,Senior,15,2
140,52,Jawa Timur,Adult,17,3
141,54,Sumatera,Youth,22,1
142,64,Sumatera,Senior,38,1
143,31,Sulawesi,Adult,35,1
144,20,Sumatera,Youth,45,2
145,18,Sulawesi,Adult,16,1
146,22,Jawa Tengah,Senior,8,2
147,43,Jawa Timur,Senior,47,2
148,31,Jawa Barat,Youth,17,1
149,56,Kalimantan,Youth,17,2
150,44,Jawa Barat,Youth,26,3
151,26,Jawa Tengah,Adult,13,1
152,32,Kalimantan,Adult,17,2
153,32,Sumatera,Adult,38,2
154,43,Jakarta,Youth,17,2
155,59,Jawa Tengah,Senior,14,3
156,30,Jawa Tengah,Senior,45,2
157,68,Jawa Timur,Adult,6,2
158,49,Jawa Barat,Adult,35,1
159,56,Jawa Tengah,Senior,46,2
160,66,Jawa Tengah,Senior,14,2
161,69,Sumatera,Adult,47,1
162,49,Sumatera,Adult,8,2
163,21,Kalimantan,Senior,15,4
164,47,Sulawesi,Youth,27,2
165,54,Sulawesi,Adult,13,2
166,40,Jakarta,Senior,31,4
167,56,Sulawesi,Senior,35,3
168,62,Jawa Timur,Senior,6,2
169,32,Jakarta,Senior,5,3
170,60,Kalimantan,Youth,22,3
171,46,Sumatera,Senior,23,2
172,53,Sulawesi,Adult,25,2
173,30,Jawa Barat,Youth,34,2
174,49,Sumatera,Senior,26,4
175,24,Jawa Timur,Youth,47,2
176,68,Sumatera,Adult,5,1
177,39,Jawa Timur,Senior,26,3
178,45,Jawa Timur,Adult,20,2
179,19,Jawa Timur,Senior,6,1
180,59,Kalimantan,Senior,6,2
181,62,Jawa Timur,Senior,18,2
182,23,Jawa Timur,Senior,4,3
183,45,Jawa Barat,Senior,17,1
184,45,Jakarta,Youth,14,3
185,61,Jawa Tengah,Senior,14,2
186,61,Jakarta,Senior,13,1
187,37,Jawa Timur,Youth,7,4
188,47,Jawa Barat,Youth,44,2
189,28,Sumatera,Youth,15,1
190,45,Jawa Barat,Youth,19,2
191,42,Jawa Timur,Youth,43,3
192,56,Jawa Barat,Youth,47,1
193,50,Sulawesi,Senior,44,1
194,18,Jawa Barat,Senior,35,1
195,44,Jawa Timur,Adult,17,1
196,69,Kalimantan,Senior,35,3
197,30,Sulawesi,Senior,19,2
198,58,Jawa Barat,Youth,20,1
199,20,Jawa Tengah,Youth,36,1
200,56,Jawa Tengah,Senior,35,1
201,23,Jawa Barat,Adult,32,4
202,25,Kalimantan,Youth,44,1
203,44,Sumatera,Senior,40,4
204,26,Jawa Timur,Senior,24,2
205,54,Jawa Tengah,Adult,17,1
206,50,Sumatera,Adult,7,3
207,68,Jawa Barat,Youth,43,2
208,59,Sumatera,Adult,1,3
209,61,Sulawesi,Senior,35,4
210,41,Jakarta,Senior,32,1
211,32,Jawa Tengah,Adult,36,1
212,49,Jawa Barat,Adult,13,3
213,49,Jawa Timur,Adult,6,1
214,41,Kalimantan,Adult,14,1
215,58,Sulawesi,Youth,37,1
216,69,Jawa Barat,Adult,15,1
217,66,Jawa Timur,Youth,47,3
218,66,Kalimantan,Senior,4,1
219,69,Kalimantan,Adult,40,2
220,29,Jawa Barat,Youth,16,2
221,56,Sulawesi,Adult,28,2
222,19,Sumatera,Senior,16,1
223,20,Sumatera,Senior,4,3
224,66,Kalimantan,Senior,45,1
225,54,Sumatera,Adult,26,3
226,66,Jakarta,Adult,28,3
227,34,Kalimantan,Youth,32,2
228,66,Kalimantan,Senior,45,2
229,19,Jawa Timur,Adult,2,2
230,19,Sumatera,Senior,31,2
231,45,Sulawesi,Senior,3,3
232,40,Kalimantan,Youth,8,3
233,54,Sulawesi,Youth,24,1
234,49,Jakarta,Youth,15,2
235,50,Jawa Timur,Youth,43,4
236,18,Jawa Barat,Senior,31,4
237,36,Sulawesi,Youth,9,2
238,19,Kalimantan,Youth,39,2
239,61,Jakarta,Youth,45,1
240,43,Jawa Tengah,Youth,2,4
241,49,Jakarta,Senior,8,1
242,23,Jakarta,Youth,7,2
243,49,Jawa Timur,Senior,44,1
244,21,Jawa Barat,Adult,39,1
245,28,Jawa Tengah,Senior,42,2
246,34,Sumatera,Senior,16,4
247,55,Sumatera,Youth,35,1
248,41,Sulawesi,Adult,30,2
249,22,Jakarta,Adult,10,1
250,69,Jawa Timur,Adult,38,1
251,51,Jawa Timur,Adult,18,2
252,23,Sumatera,Senior,5,2
253,39,Sulawesi,Adult,29,1
254,28,Sulawesi,Senior,39,1
255,65,Sulawesi,Senior,34,1
256,33,Jawa Tengah,Senior,43,1
257,50,Jawa Barat,Adult,45,4
258,26,Jawa Tengah,Youth,23,4
259,23,Kalimantan,Youth,5,1
260,33,Kalimantan,Adult,30,2
261,46,Jawa Barat,Youth,6,4
262,20,Sumatera,Youth,46,1
263,37,Jawa Barat,Senior,44,3
264,53,Jawa Timur,Senior,4,4
265,36,Kalimantan,Adult,29,1
266,43,Jakarta,Adult,23,1
267,20,Jakarta,Youth,6,4
268,36,Sumatera,Senior,32,2
269,37,Jawa Timur,Adult,42,1
270,49,Jawa Tengah,Adult,18,1
271,24,Jawa Timur,Adult,15,2
272,69,Jakarta,Adult,40,2
273,58,Jakarta,Adult,32,3
274,50,Kalimantan,Adult,9,4
275,57,Jawa Timur,Youth,37,1
276,56,Jawa Timur,Senior,10,2
277,35,Jakarta,Senior,20,2
278,57,Jawa Tengah,Adult,6,2
279,18,Sumatera,Senior,3,1
280,28,Sulawesi,Senior,42,4
281,45,Sumatera,Senior,11,3
282,42,Jawa Timur,Adult,43,2
283,67,Sumatera,Adult,17,2
284,40,Jakarta,Senior,32,1
285,48,Jakarta,Senior,4,2
286,47,Jawa Timur,Adult,4,2
287,59,Jawa Timur,Youth,17,2
288,52,Sulawesi,Senior,41,4
289,24,Sulawesi,Youth,19,2
290,33,Kalimantan,Senior,5,2
291,43,Jawa Timur,Youth,32,3
292,65,Jawa Tengah,Youth,22,1
293,69,Sumatera,Youth,6,2
294,66,Jawa Timur,Adult,35,1
295,19,Jawa Barat,Youth,22,2
296,18,Kalimantan,Youth,1,3
297,65,Jawa Barat,Youth,20,2
298,29,Jakarta,Senior,22,3
299,22,Sulawesi,Youth,11,2
300,54,Sumatera,Senior,13,1
301,49,Jawa Timur,Youth,42,3
302,26,Jawa Barat,Youth,3,1
303,58,Sumatera,Adult,9,1
304,52,Jakarta,Senior,12,2
305,36,Sulawesi,Youth,23,1
306,65,Jawa Tengah,Senior,14,1
307,33,Kalimantan,Senior,33,2
308,20,Sumatera,Adult,18,2
309,37,Sumatera,Adult,41,2
310,41,Jawa Tengah,Adult,9,4
311,50,Sumatera,Adult,23,2
312,41,Jakarta,Adult,10,3
313,69,Jakarta,Adult,19,1
314,28,Jawa Tengah,Adult,47,2
315,66,Kalimantan,Adult,5,3
316,25,Jawa Timur,Youth,47,2
317,53,Jawa Barat,Senior,23,3
318,55,Jawa Timur,Adult,30,2
319,57,Sumatera,Adult,25,1
320,37,Jawa Barat,Senior,28,2
321,52,Jawa Tengah,Youth,34,2
322,65,Jawa Tengah,Senior,45,3
323,42,Kalimantan,Senior,47,1
324,52,Jawa Barat,Adult,25,4
325,42,Jakarta,Senior,10,4
326,46,Jawa Barat,Senior,14,1
327,35,Sumatera,Adult,42,1
328,63,Jakarta,Adult,46,3
329,35,Sulawesi,Adult,30,4
330,19,Sulawesi,Adult,41,2
331,52,Sulawesi,Senior,25,1
332,33,Jawa Tengah,Senior,14,2
333,58,Jawa Barat,Youth,35,2
334,53,Sulawesi,Youth,34,1
335,50,Jawa Timur,Senior,10,3
336,21,Kalimantan,Youth,35,1
337,50,Jawa Timur,Senior,11,1
338,31,Sulawesi,Youth,11,2
339,38,Kalimantan,Adult,21,2
340,65,Sumatera,Youth,21,1
341,37,Jawa Timur,Adult,22,2
342,25,Jawa Barat,Adult,45,1
343,24,Jawa Barat,Adult,7,1
344,20,Jawa Timur,Adult,17,1
345,34,Sulawesi,Youth,2,4
346,50,Jawa Barat,Senior,12,2
347,65,Sumatera,Adult,42,2
348,29,Jakarta,Youth,18,2
349,68,Sulawesi,Adult,11,4
350,39,Sumatera,Youth,16,1
351,39,Kalimantan,Youth,18,2
352,63,Sumatera,Youth,35,3
353,47,Sulawesi,Senior,26,2
354,55,Kalimantan,Youth,16,1
355,55,Sulawesi,Youth,6,2
356,62,Jawa Barat,Senior,44,1
357,68,Jakarta,Senior,43,2
358,25,Sulawesi,Youth,47,3
359,44,Sulawesi,Senior,47,1
360,44,Jawa Barat,Adult,42,3
361,51,Jawa Tengah,Adult,12,1
362,38,Jawa Barat,Senior,13,3
363,47,Kalimantan,Senior,4,2
364,50,Jawa Barat,Youth,39,1
365,45,Jawa Barat,Senior,2,1
366,64,Jakarta,Youth,26,4
367,50,Jawa Barat,Adult,27,1
368,22,Sulawesi,Senior,27,1
369,65,Jakarta,Youth,15,1
370,36,Jawa Timur,Youth,8,2
371,21,Jawa Tengah,Adult,7,2
372,52,Jakarta,Senior,47,1
373,66,Kalimantan,Adult,46,1
374,34,Jawa Timur,Youth,40,1
375,61,Jakarta,Youth,12,1
376,45,Jakarta,Senior,13,2
377,47,Jawa Tengah,Youth,43,3
378,46,Sulawesi,Senior,17,1
379,63,Kalimantan,Adult,17,2
380,23,Sumatera,Senior,36,2
381,52,Sumatera,Senior,21,4
382,58,Jakarta,Youth,8,4
383,54,Jawa Barat,Youth,5,3
384,41,Kalimantan,Senior,26,1
385,46,Jawa Timur,Youth,16,1
386,66,Jawa Barat,Youth,36,1
387,63,Jawa Barat,Youth,28,1
388,48,Kalimantan,Senior,29,2
389,52,Sulawesi,Youth,47,3
390,50,Jakarta,Senior,12,3
391,69,Jakarta,Youth,37,3
392,38,Jakarta,Adult,30,2
393,49,Jakarta,Youth,23,2
394,40,Sumatera,Youth,16,1
395,50,Jakarta,Senior,14,1
396,20,Sumatera,Senior,10,3
397,35,Sumatera,Youth,7,1
398,42,Sulawesi,Adult,45,2
399,59,Jakarta,Youth,37,1
400,48,Jawa Tengah,Youth,29,2
401,20,Jawa Timur,Adult,3,3
402,57,Jawa Barat,Senior,15,1
403,63,Sumatera,Youth,36,3
404,41,Kalimantan,Senior,47,1
405,67,Kalimantan,Senior,46,2
406,49,Jawa Timur,Adult,19,3
407,64,Kalimantan,Adult,13,2
408,39,Jawa Tengah,Senior,42,4
409,40,Kalimantan,Youth,21,1
410,19,Jawa Barat,Senior,37,2
411,44,Jawa Barat,Youth,27,2
412,59,Sumatera,Youth,29,4
413,19,Jakarta,Adult,20,1
414,43,Sulawesi,Youth,25,3
415,34,Jawa Tengah,Youth,6,2
416,57,Sumatera,Senior,36,1
417,50,Jawa Tengah,Adult,2,2
418,26,Jakarta,Youth,22,1
419,60,Kalimantan,Youth,32,2
420,65,Kalimantan,Adult,16,3
421,56,Sulawesi,Senior,18,2
422,46,Jakarta,Adult,5,2
423,59,Sumatera,Adult,36,2
424,43,Sulawesi,Youth,30,1
425,52,Jakarta,Youth,45,1
426,67,Jawa Timur,Senior,19,2
427,42,Jawa Barat,Youth,23,1
428,41,Sulawesi,Youth,34,1
429,30,Sulawesi,Adult,13,2
430,24,Sumatera,Youth,43,1
431,53,Jawa Tengah,Senior,29,1
432,62,Jawa Timur,Adult,36,2
433,37,Sumatera,Senior,22,1
434,18,Jakarta,Adult,47,4
435,25,Jakarta,Youth,36,3
436,63,Jakarta,Adult,9,3
437,33,Jakarta,Adult,39,1
438,31,Jawa Tengah,Youth,19,3
439,29,Jawa Timur,Youth,38,3
440,68,Kalimantan,Senior,6,3
441,40,Jawa Barat,Senior,47,1
442,32,Jawa Tengah,Youth,15,2
443,45,Jawa Tengah,Youth,20,3
444,51,Kalimantan,Youth,9,2
445,19,Kalimantan,Adult,32,2
446,49,Jawa Barat,Adult,4,2
447,40,Jawa Barat,Adult,18,2
448,39,Kalimantan,Youth,5,1
449,68,Jakarta,Senior,20,2
450,42,Jawa Tengah,Youth,23,1
451,39,Sumatera,Adult,11,2
452,39,Jawa Barat,Adult,37,1
453,66,Jawa Barat,Youth,22,2
454,69,Kalimantan,Youth,4,1
455,59,Jawa Timur,Adult,29,2
456,23,Sumatera,Adult,44,3
457,32,Sumatera,Adult,34,1
458,60,Jawa Barat,Youth,13,1
459,54,Jakarta,Adult,42,1
460,50,Jawa Timur,Adult,9,3
461,25,Sumatera,Senior,42,2
462,61,Jawa Barat,Youth,31,2
463,61,Sumatera,Senior,7,1
464,22,Sulawesi,Senior,4,2
465,56,Jawa Timur,Adult,19,3
466,21,Jawa Timur,Youth,42,3
467,23,Sulawesi,Adult,30,2
468,62,Jawa Tengah,Youth,31,1
469,49,Sulawesi,Senior,35,1
470,69,Kalimantan,Youth,21,1
471,47,Kalimantan,Adult,31,1
472,64,Jawa Barat,Adult,19,1
473,52,Jawa Timur,Adult,31,1
474,57,Jawa Tengah,Youth,32,2
475,69,Jawa Tengah,Senior,2,4
476,33,Sumatera,Senior,10,2
477,30,Sumatera,Youth,2,3
478,67,Sulawesi,Adult,2,3
479,59,Jawa Tengah,Senior,24,1
480,47,Sulawesi,Adult,17,3
481,36,Sulawesi,Youth,32,1
482,34,Sumatera,Adult,16,2
483,36,Jawa Timur,Senior,16,1
484,45,Sulawesi,Senior,46,4
485,43,Jakarta,Adult,39,1
486,54,Jawa Timur,Youth,31,1
487,43,Jawa Tengah,Adult,43,4
488,40,Jawa Tengah,Youth,24,1
489,26,Sulawesi,Adult,1,2
490,29,Jawa Timur,Senior,11,3
491,18,Sumatera,Youth,21,3
492,18,Sumatera,Youth,4,4
493,64,Kalimantan,Youth,7,4
494,51,Jawa Tengah,Senior,26,1
495,49,Jawa Barat,Adult,47,3
496,65,Kalimantan,Senior,12,2
497,42,Sumatera,Youth,31,2
498,57,Jawa Timur,Adult,17,1
499,62,Sumatera,Senior,33,2
500,18,Jawa Timur,Youth,11,4
501,33,Kalimantan,Youth,28,4
502,56,Jawa Tengah,Senior,32,2
503,22,Sumatera,Senior,1,1
504,39,Sulawesi,Senior,47,2
505,46,Jawa Timur,Youth,28,3
506,20,Jawa Tengah,Senior,42,3
507,29,Jawa Barat,Youth,7,2
508,43,Jawa Timur,Senior,2,1
509,33,Kalimantan,Youth,42,2
510,68,Jawa Barat,Youth,24,2
511,54,Jawa Barat,Adult,4,4
512,39,Jakarta,Senior,44,2
513,46,Sumatera,Senior,19,1
514,31,Jawa Timur,Youth,26,2
515,45,Jawa Barat,Youth,11,1
516,22,Jakarta,Youth,40,4
517,64,Kalimantan,Adult,43,2
518,66,Jawa Tengah,Adult,11,2
519,47,Sulawesi,Youth,45,2
520,63,Sulawesi,Senior,3,2
521,69,Jawa Timur,Senior,12,2
522,22,Jawa Barat,Adult,3,3
523,29,Sulawesi,Adult,42,1
524,33,Sumatera,Youth,27,1
525,43,Sulawesi,Senior,2,1
526,43,Sulawesi,Youth,16,2
527,65,Sulawesi,Adult,2,1
528,38,Jakarta,Senior,30,2
529,56,Jawa Barat,Senior,20,3
530,53,Sumatera,Adult,38,3
531,50,Jawa Barat,Youth,28,2
532,47,Jawa Timur,Youth,25,2
533,54,Jawa Timur,Senior,32,1
534,40,Jawa Timur,Adult,10,2
535,27,Kalimantan,Senior,42,3
536,22,Sulawesi,Adult,40,1
537,53,Kalimantan,Youth,33,2
538,51,Jakarta,Adult,13,3
539,69,Jawa Timur,Youth,41,3
540,48,Sumatera,Adult,42,1
541,27,Jawa Barat,Senior,47,2
542,36,Sulawesi,Youth,37,1
543,49,Jawa Tengah,Senior,16,1
544,18,Sumatera,Senior,45,4
545,22,Sulawesi,Youth,22,3
546,62,Kalimantan,Youth,20,3
547,21,Kalimantan,Senior,43,1
548,33,Sumatera,Senior,27,3
549,41,Kalimantan,Senior,41,2
550,33,Jawa Timur,Senior,16,1
551,19,Jakarta,Youth,34,2
552,66,Jawa Barat,Youth,32,1
553,45,Jakarta,Senior,26,3
554,49,Sulawesi,Adult,25,2
555,44,Jawa Barat,Adult,2,1
556,37,Jawa Barat,Youth,12,1
557,41,Jakarta,Senior,40,1
558,29,Sumatera,Senior,9,1
559,67,Jawa Barat,Youth,12,2
560,52,Jakarta,Adult,26,3
561,50,Jawa Barat,Adult,9,1
562,50,Jawa Tengah,Adult,10,1
563,68,Sumatera,Youth,32,2
564,60,Jawa Timur,Adult,34,3
565,54,Jawa Barat,Youth,20,1
566,29,Jawa Tengah,Youth,39,1
567,20,Jawa Timur,Senior,2,2
568,18,Jawa Timur,Adult,1,1
569,50,Sulawesi,Youth,36,1
570,57,Jawa Barat,Adult,24,3
571,27,Jakarta,Adult,27,2
572,60,Jawa Barat,Senior,2,2
573,61,Jawa Tengah,Adult,31,3
574,46,Jawa Timur,Senior,14,2
575,30,Jawa Barat,Youth,2,1
576,29,Jakarta,Adult,29,2
577,48,Sulawesi,Youth,15,1
578,63,Jawa Barat,Adult,12,1
579,19,Sumatera,Youth,37,2
580,68,Sulawesi,Adult,28,3
581,67,Jakarta,Adult,20,4
582,52,Jawa Tengah,Adult,39,2
583,40,Jawa Timur,Adult,24,1
584,34,Jawa Barat,Adult,21,1
585,43,Jakarta,Adult,10,3
586,25,Sulawesi,Adult,46,2
587,46,Sumatera,Adult,14,2
588,43,Jakarta,Adult,37,3
589,27,Kalimantan,Youth,18,3
590,43,Sumatera,Senior,24,3
591,51,Sulawesi,Adult,14,1
592,68,Jawa Tengah,Senior,34,3
593,58,Jawa Timur,Adult,12,3
594,24,Sulawesi,Adult,22,1
595,21,Jawa Tengah,Youth,6,2
596,67,Jawa Barat,Youth,36,1
597,62,Jakarta,Senior,45,4
598,28,Kalimantan,Youth,36,1
599,46,Sumatera,Youth,22,2
600,53,Sumatera,Senior,14,1
601,42,Jakarta,Youth,16,3
602,38,Kalimantan,Adult,36,1
603,53,Jakarta,Senior,25,1
604,27,Jawa Barat,Senior,32,2
605,54,Jawa Tengah,Adult,33,4
606,26,Sulawesi,Youth,45,1
607,41,Sumatera,Senior,36,1
608,52,Jawa Barat,Senior,20,3
609,66,Jawa Tengah,Adult,18,2
610,52,Jawa Barat,Adult,38,4
611,65,Kalimantan,Youth,3,1
612,53,Sumatera,Senior,23,2
613,35,Sulawesi,Youth,32,1
614,66,Jakarta,Youth,45,1
615,56,Jakarta,Adult,16,2
616,49,Jawa Tengah,Senior,5,2
617,41,Sulawesi,Senior,4,3
618,40,Jawa Timur,Senior,21,1
619,49,Kalimantan,Adult,40,2
620,54,Jawa Tengah,Adult,14,2
621,29,Jawa Timur,Adult,39,4
622,66,Jawa Barat,Adult,31,1
623,30,Kalimantan,Adult,14,1
624,40,Jawa Barat,Senior,6,2
625,42,Sulawesi,Youth,12,2
626,52,Sumatera,Senior,16,1
627,58,Kalimantan,Youth,17,4
628,47,Jawa Timur,Adult,45,1
629,34,Sumatera,Youth,23,3
630,66,Jakarta,Senior,14,1
631,37,Jawa Timur,Senior,7,2
632,65,Jawa Tengah,Youth,46,4
633,42,Jakarta,Adult,32,1
634,39,Jakarta,Adult,15,4
635,30,Jawa Tengah,Senior,44,2
636,36,Kalimantan,Youth,17,4
637,66,Jakarta,Adult,41,2
638,53,Sulawesi,Adult,47,1
639,29,Jawa Timur,Senior,44,1
640,58,Sumatera,Adult,34,1
641,36,Jakarta,Youth,5,1
642,29,Jawa Timur,Senior,45,1
643,26,Jawa Barat,Senior,27,1
644,24,Jawa Timur,Youth,23,2
645,45,Sumatera,Senior,40,3
646,31,Jawa Timur,Adult,14,1
647,48,Jawa Tengah,Adult,15,1
648,69,Sumatera,Youth,43,2
649,36,Kalimantan,Adult,33,1
650,64,Jawa Barat,Youth,31,1
651,33,Jawa Tengah,Youth,35,1
652,22,Kalimantan,Adult,17,4
653,52,Jawa Timur,Youth,28,3
654,29,Sumatera,Adult,19,2
655,42,Jawa Barat,Senior,46,2
656,69,Jawa Tengah,Senior,23,2
657,38,Kalimantan,Youth,32,2
658,53,Kalimantan,Adult,40,2
659,40,Jawa Barat,Adult,13,2
660,33,Sulawesi,Senior,20,1
661,56,Jawa Timur,Senior,35,1
662,62,Jawa Barat,Adult,5,2
663,59,Kalimantan,Youth,9,3
664,56,Jakarta,Senior,29,2
665,31,Jawa Tengah,Youth,6,3
666,48,Jawa Barat,Youth,25,4
667,22,Sulawesi,Senior,31,1
668,52,Kalimantan,Youth,22,2
669,40,Jawa Timur,Youth,2,2
670,46,Kalimantan,Adult,45,4
671,60,Jawa Timur,Youth,5,4
672,28,Jawa Barat,Adult,27,2
673,35,Jawa Timur,Senior,25,1
674,64,Sumatera,Senior,8,3
675,29,Sumatera,Adult,1,1
676,26,Sumatera,Senior,20,3
677,27,Sulawesi,Youth,44,4
678,61,Sulawesi,Youth,23,2
679,34,Jakarta,Youth,32,2
680,55,Sulawesi,Senior,11,2
681,24,Jawa Barat,Youth,39,2
682,63,Kalimantan,Senior,47,1
683,30,Kalimantan,Youth,24,3
684,57,Jakarta,Adult,11,4
685,59,Sulawesi,Senior,29,4
686,26,Jawa Timur,Senior,26,1
687,67,Jakarta,Youth,16,3
688,44,Jawa Timur,Senior,35,3
689,19,Jawa Timur,Senior,20,1
690,22,Jawa Tengah,Adult,46,1
691,46,Kalimantan,Adult,3,1
692,54,Sumatera,Youth,1,4
693,55,Sulawesi,Adult,47,2
694,36,Jawa Timur,Youth,1,3
695,25,Jawa Tengah,Youth,17,1
696,65,Kalimantan,Youth,2,3
697,62,Sumatera,Senior,29,1
698,18,Jawa Timur,Adult,20,2
699,39,Jawa Timur,Youth,6,2
700,69,Jakarta,Adult,8,1
701,34,Jakarta,Youth,29,3
702,24,Kalimantan,Adult,33,1
703,42,Sumatera,Adult,3,2
704,62,Jawa Timur,Youth,35,2
705,21,Kalimantan,Senior,5,2
706,53,Kalimantan,Adult,27,1
707,23,Jawa Barat,Senior,44,1
708,48,Sulawesi,Senior,12,4
709,36,Jakarta,Youth,20,1
710,61,Sumatera,Youth,45,3
711,56,Jawa Timur,Youth,20,4
712,44,Kalimantan,Adult,9,1
713,27,Jawa Timur,Youth,39,1
714,43,Jawa Barat,Youth,4,2
715,36,Sumatera,Adult,19,4
716,56,Kalimantan,Adult,38,4
717,20,Jawa Timur,Youth,27,2
718,62,Jakarta,Youth,45,3
719,30,Sulawesi,Youth,43,1
720,67,Jawa Barat,Youth,13,4
721,45,Sumatera,Senior,13,4
722,37,Jawa Barat,Senior,22,1
723,45,Jakarta,Youth,28,1
724,25,Sumatera,Senior,47,1
725,58,Jawa Barat,Adult,45,1
